age,job,marital,education,balance,housing,loan,duration,campaign,pdays,previous,deposit
45,blue-collar,divorced,primary,594,yes,no,833,2,-1,0,yes
29,blue-collar,single,secondary,-20,yes,no,814,2,-1,0,yes
38,management,divorced,tertiary,4692,yes,no,1363,2,-1,0,yes
30,blue-collar,married,secondary,486,yes,no,1109,3,-1,0,yes
44,blue-collar,single,primary,1593,yes,no,828,3,-1,0,yes
36,management,single,tertiary,7606,yes,no,917,1,-1,0,yes
38,technician,married,secondary,226,yes,no,762,3,-1,0,yes
36,blue-collar,single,secondary,366,yes,yes,1133,2,-1,0,yes
37,management,divorced,secondary,16,yes,no,638,1,-1,0,yes
35,management,single,tertiary,565,yes,no,763,1,-1,0,yes
38,admin.,divorced,secondary,19,yes,no,604,2,-1,0,yes
40,services,married,primary,1082,yes,no,854,2,-1,0,yes
42,unemployed,divorced,secondary,1713,yes,no,855,2,-1,0,yes
46,management,divorced,tertiary,14481,yes,no,1269,1,-1,0,yes
35,technician,divorced,secondary,5724,yes,no,691,10,-1,0,yes
34,technician,divorced,secondary,1451,yes,no,1097,15,-1,0,yes
32,services,married,secondary,-34,yes,no,1236,2,-1,0,yes
50,unemployed,married,secondary,3674,yes,no,886,3,-1,0,yes
35,blue-collar,married,secondary,698,yes,yes,1343,3,-1,0,yes
36,technician,single,secondary,4136,yes,no,812,3,-1,0,yes
53,blue-collar,divorced,primary,2656,yes,no,1980,2,-1,0,yes
46,management,single,tertiary,2904,yes,no,984,2,-1,0,yes
26,management,single,tertiary,1004,yes,no,228,2,-1,0,yes
45,technician,single,secondary,410,yes,no,891,4,-1,0,yes
31,unemployed,divorced,primary,0,yes,no,745,12,-1,0,yes
29,management,single,tertiary,0,yes,no,539,12,-1,0,yes
53,entrepreneur,single,secondary,62,yes,no,1044,5,-1,0,yes
27,blue-collar,married,primary,416,yes,no,1193,2,-1,0,yes
39,management,married,tertiary,2763,yes,no,526,2,-1,0,yes
36,services,married,secondary,2984,yes,no,394,1,-1,0,yes
41,blue-collar,married,primary,143,yes,yes,659,2,-1,0,yes
36,services,married,primary,0,yes,no,1036,1,-1,0,yes
32,technician,married,secondary,696,yes,no,815,1,-1,0,yes
35,services,married,secondary,152,yes,no,563,1,-1,0,yes
36,management,single,tertiary,-78,yes,no,1068,1,-1,0,yes
35,management,married,tertiary,867,yes,no,230,3,-1,0,yes
30,blue-collar,single,secondary,953,yes,no,747,2,-1,0,yes
42,blue-collar,married,secondary,443,yes,no,671,5,-1,0,yes
42,technician,single,secondary,-1129,yes,no,555,5,-1,0,yes
32,blue-collar,married,primary,415,yes,no,777,4,-1,0,yes
29,blue-collar,single,secondary,260,yes,no,707,14,-1,0,yes
44,management,divorced,tertiary,-411,yes,no,432,4,-1,0,yes
32,technician,single,secondary,1279,yes,no,1173,3,-1,0,yes
31,unemployed,married,secondary,86,yes,yes,963,2,-1,0,yes
40,self-employed,married,secondary,-754,yes,yes,941,3,-1,0,yes
43,entrepreneur,married,secondary,0,no,no,1025,7,-1,0,yes
27,management,single,secondary,178,yes,no,732,2,-1,0,yes
37,services,single,secondary,278,yes,no,1045,3,-1,0,yes
23,services,single,secondary,425,yes,no,768,1,-1,0,yes
25,management,married,primary,168,yes,no,801,1,-1,0,yes
26,blue-collar,single,secondary,-36,yes,no,482,2,-1,0,yes
47,blue-collar,divorced,primary,126,yes,no,2456,2,-1,0,yes
35,admin.,married,secondary,-87,yes,no,1363,7,-1,0,yes
32,technician,single,tertiary,6281,yes,no,1336,4,-1,0,yes
45,management,divorced,secondary,644,yes,no,633,1,-1,0,yes
30,admin.,divorced,secondary,377,yes,no,524,15,-1,0,yes
29,services,single,secondary,-271,yes,no,578,1,-1,0,yes
38,blue-collar,married,primary,5839,yes,no,984,2,-1,0,yes
23,blue-collar,single,secondary,492,yes,no,638,1,-1,0,yes
27,management,single,tertiary,99,yes,no,767,2,-1,0,yes
27,management,single,tertiary,-713,yes,no,525,2,-1,0,yes
29,services,single,secondary,32,yes,no,563,1,-1,0,yes
30,self-employed,married,tertiary,543,yes,yes,1449,6,-1,0,yes
36,blue-collar,married,primary,403,yes,no,920,1,-1,0,yes
35,admin.,divorced,secondary,437,yes,no,908,1,-1,0,yes
36,blue-collar,married,secondary,1772,no,no,208,1,-1,0,yes
59,retired,divorced,primary,-88,yes,no,910,2,-1,0,yes
47,entrepreneur,married,secondary,0,no,no,1446,1,-1,0,yes
58,entrepreneur,married,tertiary,853,no,no,1149,2,-1,0,yes
37,management,single,tertiary,240,no,no,1123,1,-1,0,yes
46,admin.,single,secondary,849,yes,no,508,2,-1,0,yes
43,blue-collar,single,secondary,318,yes,no,736,2,-1,0,yes
27,management,single,tertiary,703,yes,no,590,3,-1,0,yes
38,services,divorced,secondary,61,no,no,636,1,-1,0,yes
53,housemaid,married,primary,104,no,yes,701,1,-1,0,yes
47,blue-collar,married,secondary,1996,no,no,761,2,-1,0,yes
56,housemaid,divorced,primary,1238,no,no,1558,1,-1,0,yes
41,housemaid,married,secondary,879,no,no,1053,2,-1,0,yes
29,self-employed,married,secondary,425,yes,no,562,15,-1,0,yes
50,technician,married,secondary,416,yes,no,494,5,-1,0,yes
45,blue-collar,divorced,primary,844,no,no,1018,3,-1,0,yes
35,blue-collar,married,secondary,860,yes,no,884,4,-1,0,yes
26,technician,single,secondary,639,yes,no,709,5,-1,0,yes
26,admin.,married,secondary,710,yes,yes,1276,2,-1,0,yes
37,blue-collar,married,unknown,1508,no,yes,381,2,-1,0,yes
30,admin.,single,secondary,223,yes,no,862,11,-1,0,yes
38,management,single,tertiary,619,yes,no,460,4,-1,0,yes
37,services,divorced,secondary,319,yes,no,467,3,-1,0,yes
53,technician,married,secondary,480,no,no,648,2,-1,0,yes
29,blue-collar,single,primary,213,yes,no,2653,3,-1,0,yes
35,management,single,tertiary,68,no,no,1085,1,-1,0,yes
28,blue-collar,married,secondary,2788,yes,no,369,2,-1,0,yes
55,blue-collar,married,unknown,7561,no,no,685,3,-1,0,yes
49,management,divorced,secondary,-46,yes,no,1055,10,-1,0,yes
50,services,married,secondary,1595,no,no,882,1,-1,0,yes
43,management,single,tertiary,1046,no,no,901,1,-1,0,yes
58,self-employed,divorced,tertiary,1382,no,no,700,1,-1,0,yes
38,technician,married,primary,217,yes,no,491,6,-1,0,yes
48,blue-collar,divorced,primary,183,no,no,940,1,-1,0,yes
59,management,married,secondary,1321,no,no,3881,3,-1,0,yes
58,blue-collar,married,secondary,25,no,no,486,3,-1,0,yes
36,self-employed,single,tertiary,4844,no,no,1137,3,-1,0,yes
42,entrepreneur,married,tertiary,5345,no,no,878,3,-1,0,yes
41,admin.,single,secondary,812,no,yes,583,4,-1,0,yes
42,admin.,married,secondary,105,no,no,1159,4,-1,0,yes
39,management,married,tertiary,-190,no,yes,893,8,-1,0,yes
57,housemaid,married,primary,625,no,yes,867,1,-1,0,yes
52,retired,married,unknown,293,no,no,706,1,-1,0,yes
59,retired,married,unknown,1033,no,no,1199,1,-1,0,yes
56,blue-collar,married,secondary,1210,no,no,935,1,-1,0,yes
49,management,married,tertiary,64,no,no,586,1,-1,0,yes
35,blue-collar,divorced,unknown,164,no,no,967,2,-1,0,yes
36,unemployed,married,secondary,1766,no,no,595,2,-1,0,yes
40,admin.,single,tertiary,1248,no,no,1290,2,-1,0,yes
55,blue-collar,married,secondary,0,no,no,614,2,-1,0,yes
58,admin.,married,secondary,826,no,no,885,1,-1,0,yes
39,self-employed,married,tertiary,2630,no,no,651,5,-1,0,yes
47,housemaid,single,tertiary,3727,no,no,993,6,-1,0,yes
40,management,married,secondary,406,yes,no,577,2,-1,0,yes
35,blue-collar,married,tertiary,2999,no,no,1141,6,-1,0,yes
48,blue-collar,married,secondary,1000,yes,no,1268,2,-1,0,yes
48,management,divorced,tertiary,503,no,yes,1243,7,-1,0,yes
24,blue-collar,single,secondary,-203,yes,no,465,3,-1,0,yes
49,blue-collar,married,primary,361,yes,no,513,2,-1,0,yes
36,blue-collar,married,secondary,274,yes,no,686,11,-1,0,yes
52,retired,divorced,tertiary,3687,yes,yes,741,4,-1,0,yes
42,entrepreneur,single,unknown,323,no,no,617,1,-1,0,yes
36,services,married,secondary,981,no,no,1093,1,-1,0,yes
36,blue-collar,divorced,secondary,638,yes,no,1395,2,-1,0,yes
48,unemployed,single,tertiary,3229,no,no,1089,1,-1,0,yes
51,management,single,secondary,1610,yes,no,1248,3,-1,0,yes
51,blue-collar,married,secondary,33,no,yes,721,3,-1,0,yes
46,technician,married,secondary,536,yes,no,750,2,-1,0,yes
37,management,married,tertiary,0,no,no,637,6,-1,0,yes
36,entrepreneur,married,tertiary,3057,no,no,2769,4,-1,0,yes
47,management,married,secondary,2892,no,no,556,1,-1,0,yes
40,technician,divorced,tertiary,0,no,no,522,1,-1,0,yes
38,student,single,tertiary,3316,no,no,1345,3,-1,0,yes
40,management,married,secondary,106,no,no,676,2,-1,0,yes
39,blue-collar,married,primary,2303,yes,no,775,3,-1,0,yes
60,management,married,tertiary,3301,no,no,2621,3,-1,0,yes
39,self-employed,single,tertiary,426,no,no,1029,1,-1,0,yes
51,services,divorced,secondary,9,no,no,371,2,-1,0,yes
27,admin.,married,secondary,-97,yes,no,1528,2,-1,0,yes
41,management,single,tertiary,11008,no,no,1540,1,-1,0,yes
42,blue-collar,single,primary,4930,no,no,973,1,-1,0,yes
41,entrepreneur,married,secondary,707,no,no,707,1,-1,0,yes
33,technician,married,secondary,4,yes,yes,625,2,-1,0,yes
46,admin.,married,secondary,126,no,no,1255,1,-1,0,yes
31,blue-collar,married,secondary,671,yes,no,704,4,-1,0,yes
41,blue-collar,married,primary,219,no,yes,1574,3,-1,0,yes
41,blue-collar,divorced,secondary,3622,no,no,1135,4,-1,0,yes
55,retired,divorced,secondary,1580,no,yes,1007,1,-1,0,yes
53,technician,married,secondary,1319,no,no,1318,3,-1,0,yes
55,housemaid,married,primary,2152,no,no,922,2,-1,0,yes
39,services,married,secondary,2843,yes,no,585,1,-1,0,yes
40,entrepreneur,married,tertiary,0,no,no,952,4,-1,0,yes
59,retired,married,primary,1115,no,no,834,1,-1,0,yes
42,blue-collar,single,secondary,625,no,no,651,3,-1,0,yes
41,blue-collar,married,primary,246,no,no,683,3,-1,0,yes
27,blue-collar,married,secondary,61,yes,no,1012,1,-1,0,yes
25,blue-collar,single,secondary,-191,yes,no,958,7,-1,0,yes
43,unemployed,married,primary,519,no,no,973,2,-1,0,yes
44,services,married,secondary,522,no,yes,911,1,-1,0,yes
26,blue-collar,single,secondary,-46,yes,no,382,7,-1,0,yes
52,retired,married,tertiary,2269,no,no,1210,1,-1,0,yes
54,services,married,unknown,386,no,yes,838,1,-1,0,yes
56,management,married,tertiary,0,no,yes,422,1,-1,0,yes
57,management,married,tertiary,9103,no,yes,1098,2,-1,0,yes
29,blue-collar,single,secondary,908,yes,no,1663,1,-1,0,yes
47,technician,married,tertiary,1694,no,yes,560,3,-1,0,yes
57,management,married,tertiary,-92,yes,yes,1617,1,-1,0,yes
40,blue-collar,married,secondary,188,yes,yes,570,2,-1,0,yes
46,services,divorced,secondary,0,no,no,1023,3,-1,0,yes
43,blue-collar,single,secondary,740,yes,no,585,2,-1,0,yes
45,management,married,tertiary,655,no,no,693,3,-1,0,yes
24,management,married,secondary,867,yes,no,546,10,-1,0,yes
40,blue-collar,married,secondary,1009,yes,yes,1036,5,-1,0,yes
38,services,divorced,unknown,6360,no,no,1409,2,-1,0,yes
36,unemployed,married,tertiary,4145,no,no,988,4,-1,0,yes
27,blue-collar,single,secondary,-27,no,no,498,2,-1,0,yes
26,admin.,single,primary,-122,yes,no,670,3,-1,0,yes
43,management,married,tertiary,149,yes,no,662,2,-1,0,yes
25,blue-collar,single,primary,52,yes,no,528,2,-1,0,yes
27,blue-collar,married,tertiary,335,yes,no,519,3,-1,0,yes
30,technician,married,tertiary,526,yes,yes,677,3,-1,0,yes
28,admin.,single,secondary,-7,no,yes,3183,2,-1,0,yes
27,blue-collar,married,primary,-413,no,yes,422,6,-1,0,yes
32,admin.,divorced,secondary,-241,no,yes,856,2,-1,0,yes
41,blue-collar,single,secondary,75,yes,no,479,9,-1,0,yes
37,technician,single,tertiary,0,no,no,1135,2,-1,0,yes
27,technician,single,secondary,158,no,no,650,2,-1,0,yes
29,services,single,secondary,84,no,yes,587,3,-1,0,yes
33,services,married,secondary,114,no,yes,676,1,-1,0,yes
36,technician,married,primary,0,no,no,584,1,-1,0,yes
28,blue-collar,single,secondary,-127,yes,no,1044,3,-1,0,yes
55,blue-collar,married,secondary,49,yes,no,494,4,-1,0,yes
51,technician,married,secondary,216,no,no,615,2,-1,0,yes
39,technician,single,secondary,506,yes,no,718,2,-1,0,yes
42,blue-collar,divorced,primary,213,yes,no,434,3,-1,0,yes
33,services,single,secondary,170,no,no,782,1,-1,0,yes
36,entrepreneur,divorced,tertiary,776,no,yes,722,3,-1,0,yes
45,technician,married,secondary,879,no,no,621,2,-1,0,yes
37,self-employed,married,secondary,1633,no,no,629,2,-1,0,yes
46,unemployed,married,secondary,926,no,no,385,5,-1,0,yes
32,self-employed,single,tertiary,2559,no,no,889,1,-1,0,yes
28,technician,single,secondary,909,no,yes,532,1,-1,0,yes
45,admin.,divorced,secondary,-176,no,yes,574,1,-1,0,yes
41,blue-collar,single,secondary,1085,yes,yes,599,1,-1,0,yes
59,blue-collar,divorced,primary,1265,no,yes,849,1,-1,0,yes
47,technician,single,secondary,-239,yes,yes,973,3,-1,0,yes
31,blue-collar,single,secondary,726,no,no,719,2,-1,0,yes
31,management,single,tertiary,296,no,yes,509,4,-1,0,yes
33,entrepreneur,married,secondary,-627,yes,yes,740,1,-1,0,yes
52,entrepreneur,married,tertiary,-468,no,no,534,1,-1,0,yes
26,self-employed,single,secondary,551,no,no,531,1,-1,0,yes
25,technician,single,secondary,0,no,yes,634,1,-1,0,yes
25,blue-collar,married,secondary,101,no,yes,460,3,-1,0,yes
28,blue-collar,single,secondary,517,no,yes,681,1,-1,0,yes
33,entrepreneur,divorced,tertiary,37,no,yes,1082,1,-1,0,yes
45,management,divorced,tertiary,854,no,yes,730,1,-1,0,yes
36,services,married,secondary,30,no,yes,716,5,-1,0,yes
26,blue-collar,single,secondary,81,no,yes,803,2,-1,0,yes
38,technician,married,secondary,0,no,no,635,1,-1,0,yes
56,blue-collar,single,secondary,663,no,yes,819,3,-1,0,yes
26,admin.,single,secondary,102,no,yes,658,2,-1,0,yes
26,technician,married,secondary,370,no,yes,1061,4,-1,0,yes
25,blue-collar,single,secondary,189,no,yes,687,2,-1,0,yes
26,unemployed,single,secondary,111,no,no,537,1,-1,0,yes
40,blue-collar,married,primary,665,yes,no,781,1,-1,0,yes
37,admin.,married,primary,214,yes,no,645,1,-1,0,yes
43,blue-collar,single,primary,0,no,no,1242,1,-1,0,yes
41,services,divorced,tertiary,1583,yes,no,662,1,-1,0,yes
49,blue-collar,married,secondary,0,no,yes,625,1,-1,0,yes
29,admin.,divorced,tertiary,0,no,yes,426,3,-1,0,yes
39,services,divorced,secondary,687,yes,no,869,1,-1,0,yes
38,management,married,tertiary,327,yes,yes,556,5,-1,0,yes
26,technician,married,secondary,-119,no,yes,359,5,-1,0,yes
32,management,married,tertiary,794,yes,yes,1014,1,-1,0,yes
33,blue-collar,married,primary,-191,yes,yes,1290,4,-1,0,yes
31,management,single,tertiary,409,no,yes,564,5,-1,0,yes
49,blue-collar,married,primary,3,no,yes,1439,6,-1,0,yes
27,unemployed,single,primary,9,no,yes,919,2,-1,0,yes
30,blue-collar,single,secondary,155,yes,yes,1426,3,-1,0,yes
35,blue-collar,married,secondary,1330,no,no,901,1,-1,0,yes
26,blue-collar,single,secondary,-29,yes,no,998,4,-1,0,yes
45,entrepreneur,married,unknown,3133,yes,yes,804,1,-1,0,yes
34,admin.,married,secondary,-33,yes,yes,961,1,-1,0,yes
28,admin.,single,secondary,-170,no,yes,720,2,-1,0,yes
25,blue-collar,single,secondary,1243,no,yes,1341,7,-1,0,yes
30,blue-collar,single,secondary,1598,yes,no,634,1,-1,0,yes
30,services,married,secondary,5,no,yes,829,5,-1,0,yes
47,services,married,secondary,367,yes,no,476,4,-1,0,yes
57,admin.,divorced,secondary,658,no,no,724,1,-1,0,yes
38,management,married,tertiary,1722,yes,no,500,1,-1,0,yes
54,technician,married,secondary,-315,no,yes,2029,1,-1,0,yes
25,blue-collar,single,primary,2483,no,no,1499,3,-1,0,yes
30,blue-collar,married,secondary,0,yes,yes,1399,1,-1,0,yes
26,management,single,tertiary,45,no,no,1187,3,-1,0,yes
31,student,married,primary,46,yes,no,487,1,-1,0,yes
29,blue-collar,single,secondary,482,no,yes,1097,3,-1,0,yes
